ï»¿"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATAMOTORS","EQ","03-Apr-2024","1,004.65","1,004.00","1,014.45","992.55","1,009.80","1,009.15","1,005.24","80,40,366","8,08,24,83,994.30","1,78,668","31,11,685","38.70"
"TATAMOTORS","EQ","04-Apr-2024","1,009.15","1,016.00","1,017.00","998.15","1,013.00","1,011.60","1,009.18","91,38,276","9,22,21,66,611.85","2,22,736","-","-"
"TATAMOTORS","EQ","05-Apr-2024","1,011.60","1,011.60","1,012.50","1,004.40","1,007.85","1,007.10","1,007.70","45,19,120","4,55,39,38,869.15","1,25,137","21,86,510","48.38"
